text,label
"FW: Получение паролей ЕПС. Добрый день! Прошу прислать логин и пароль для ЕПС еще для одного сотрудника, который не помнит пароля: Савватевв Ярослав Викторович     *From:* Обухов Владимир Владимирович   *Sent:* Monday, August 29, 2022 2:48 PM  *To:* 'HelpDesk@mggt.ru'  *Subject:* Получение паролей ЕПС    Добрый день! Ответственный за получение паролей: Обухов Владимир Владимирович  Список сотрудников не имеющих почтовый ящик в домене  mggt.ru:  *1.*  *Воскресенский Алексей Иванович* 2.  *Рудаков Дмитрий Вадимович* – у него почтовый ящик есть, но он не помнит свой пароль и логин, так как работает в основном в поле. И не может посмотреть письмо с паролем и логином для ЕПС.    *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *_С уважением,_*_*  *_ *_*_*  *_ *_Начальник группы инженерно-геофизических исследований_*_*  *_ *_Отдел №2_*_*  *_ **_*  *_ *_Тел: *_*",3
На служебную записку В - АУП - 11225/22 от 29.08.2022   Ответственный от бухгалтерии за предоставление списка активных учетных записей ЕПС . – Базыкина Я.А.,1
| Калинушкин | Сергей | Николаевич | Отдел №3 таб. № 1090 |  * *skalinushkin** | |    |  |  |  |  * *** |   Доброе утро! Данному сотруднику отдела № 3 не приходили информационные письма с логином\паролем и инструкции. Прошу прислать.,4
"Прошу выполнить необходимые настройки на рабочем месте работка ОКР Самсова А.Е., связанные с тестированием нового релиза РеИнформ",3
Список активных учетных записей единая почтовая система,0
Учетные данные единая почтовая система для первоначального входа,0
Ответственный за получение паролей В-АУП-11225/22 от 29.08.2022. Добрый день! Лескив А.И.,2
ЕПС,4
"Подключение компьютера. Добрый день, прошу подключить компьютер Абросимову С.В. в боксе 36а, помещение 5, 2-й этаж",4
Заявка,1
ЕПС. Семёнова Мария Владимировна <mvsemenova@MGGT.RU>нет в таблице. Просьба созать у.з епс,4
"Добрый день! Прошу настроить почту, которая str.mos. Добрый день! Прошу настроить почту, которая  str.mos",4
STR. Восстановление пароля str,1
Не могу удаленно подключиться к компьютеру iitp_216_18. ,0
Внешняя почта,3
Учетные данные единая почтовая система для первоначального входа,1
"Прошу выдать учетную запись в Единой почтовой системе (ЕПС, почта @str.mos.ru) Щербаковой Л.А.(таб.)",0
Рассылка о регистрации в единая почтовая система (str.mos.ru). | Калинушкин | Сергей | Николаевич | Отдел №3 таб. № 1090 |  * *skalinushkin** | |    |  |  |  |  * *** |   Доброе утро! Данному сотруднику отдела № 3 не приходили информационные письма с логином\паролем и инструкции. Прошу прислать.,4
Ответственный за получение паролей В-АУП-11225/22 от 29.08.2022,2
Список ответственных за получение паролей для работников ОВБ.,1
FW: Получение паролей ЕПС,3
"Прошу выдать учетную запись в Единой почтовой системе (ЕПС, почта @str.mos.ru) следующим работникам:  | п/п | ФИО | Табельный номер | | 1 | Кравцов Дмитрий Александрович  | 2025 | | 2 | Плетнев Александр Васильевич  | 165  | | 3 | Плетнев Василий Алексеевич  | 361  | | 4 | Ицков Артем Анатольевич  | 182  | | 5 | Русаков Николай Павлович  | 2641  | | 6 | Кузнецов Александр Иванович  | 1202  |",1
прислать учётные данные ЕПС. Просьба прислать учётные данные ЕПС для первоначального входа.,2
единая почтовая система. Семёнова Мария Владимировна <mvsemenova@MGGT.RU>нет в таблице. Просьба созать у.з епс,4
не могу подключиться через рдп,0
"Добрый день! Прошу настроить почту, которая str.mos",4
Учетные данные ЕПС для первоначального входа,1
Отзыв: Список активных учетных записей ЕПС,2
Восстановление пароля str,1
"доступ к почте @str.mos.ru. Добрый день! Мне необходимо восстановить доступ к почте @str.mos.ru   С уважением, Костюченко К.Е.",3
единая почтовая система,4
Не могу удаленно подключиться к компьютеру iitp_216_18,0
"Почта. В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22, и в соответствии с приложенной служебной запиской, необходимо создать учетную запись на портале в ЕПС, почта @str.mos.ru., начальнику группы по делам ГО и ЧС Дюкову А.В., в связи с тем, что при создании предыдущей учетной записи на @str.mos.ru. пароль для входа в почту выдан не был.  С уважением, А.В. Волонтырь,",1
"Обновили на новую подпись Назаркин, в АС выдает ошибку. ",0
Подключение к рассылке от Oracle . Здравствуйте! Прошу подключить Морозову Е. В. к рассылке от Oracle:  Работы по наряду закрыты - Работы по наряду закрыты № % Изменение статуса заказа - Положительное заключение Изменение статуса заказа - Формирование результата (согласовано) Дополнительные материалы - Получен акт по заказу 9/%.,1
Проблема с AutoCAD. Доброе утро Помогите пожалуйста решить проблему. При запуске программы выдает ошибку и закрывает файл,2
"Здравствуйте, зависли расчётные машины ссс02, ссс03 и ссс06",1
IWDM,1
"Обновить пароль. Доброе утро, коллеги. Не могу зайти на str.mos.ru почту, так как давно ей не пользовалась. Просьба обновить пароль.  Телефон для связи 89152. Работаю сейчас удаленно",0
"В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22, и в соответствии с приложенной служебной запиской, необходимо создать учетную запись на портале в ЕПС, почта @str.mos.ru., начальнику группы по делам ГО и ЧС Дюкову А.В., в связи с тем, что при создании предыдущей учетной записи на @str.mos.ru. пароль для входа в почту выдан не был.  С уважением, А.В. Волонтырь,",1
Отзыв: Список активных учетных записей единая почтовая система,2
настройка АРМ,3
"Добрый день!  Прошу выдать пароль для почтового ящика в домене mggt.ru.   Кузнецову Александру Ивановичу (таб.№ 1202)    *_ *_С уважением,_*_*  _____________________________________________",2
"Восстановить почту  str.mos.ru . Доброе утро! Прошу восстановить почту str.mos.ru Телефон для контакта +7С уважением, Инженер 1-ой категории отдела №9 (ОПС)",4
Расходники 2й отдел,0
"Коллеги, добрый день! В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22 и в соответствии с приложенной служебной запиской, прошу Вас создать мне учетную запись на портале в ЕПС, почта @str.mos.ru.. Спасибо!",1
пароль для входа в БД. Доброе утро! Заблокировался вход в БД. Не знаю какой пароль. Телефон  Дарья,1
"заменить сборник отходов аппарат Xerox AltaLik C8035. Доброе утро! Просьба заменить сборник отходов аппарат  Xerox AltaLik C8035. Спасибо!   _ ___  _ _С уважением,__",4
Прошу восстановить пароль @str.mos.ru ,2
Здравствуйте! Прошу подключить Морозову Е. В. к рассылке от Oracle:  Работы по наряду закрыты - Работы по наряду закрыты № % Изменение статуса заказа - Положительное заключение Изменение статуса заказа - Формирование результата (согласовано) Дополнительные материалы - Получен акт по заказу 9/%.,1
Уважаемые пользователи! Сегодня 29.08.2022г. в период с 18-00 до 19-00 в система документооборота МГГТ планируются работы по обновлению. Система может работать нестабильно.,0
Добрый день.  Мне необходимо восстановить доступ к @str.mos.ru. Добрый день. Мне необходимо восстановить доступ к @str.mos.ru,2
"Заявка. Коллеги, добрый день! В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22 и в соответствии с приложенной служебной запиской, прошу Вас создать мне учетную запись на портале в единая почтовая система, почта @str.mos.ru.. Спасибо!",1
Просьба прислать учётные данные единая почтовая система для первоначального входа.,2
прислать учётные данные единая почтовая система. Просьба прислать учётные данные единая почтовая система для первоначального входа.,2
Добрый день! Лескив А.И.,2
"IWDM. Прошу предоставить выгрузку системных журналов, журнала приложений с сервера InfoWatch Device Monitor",1
FW: Получение паролей единая почтовая система,3
Рассылка о регистрации в ЕПС (str.mos.ru),4
"На служебную записку В - АУП - 11225/22 от 29.08.2022   Ответственный от бухгалтерии за предоставление списка активных учетных записей ЕПС . – Базыкина Я.А.. В бухгалтерии нет работников, не имеющих почтовых ящиков в домене mggt.ru. , поэтому  Ответственный за получение паролей для работников, не имеющих почтовых ящиков в домене mggt.ru. не назначается Ответственный от бухгалтерии за предоставление списка активных учетных записей ЕПС . – Базыкина Я.А.",1
"Ответственный от отдела №11 за получение паролей для работников, не имеющих почтовых ящиков в домене mggt.ru. Камских Георгий Дмитриевич. Прошу направить информацию в кротчайшее время   С уважением",0
пароль для входа в БД,1
FW: отгулы . ,2
RE: #600-267647: Программное обеспечение PrinCe (програмное обеспечение CHC CGO 2.0 RTK). ,3
Подключение к рассылке от Oracle ,1
прислать учётные данные единая почтовая система,2
Доброе утро! Прошу восстановить ранее установленную почту  [KorchinovaLA@str.mos.ru|mailto:KorchinovaLA@str.mos.ru] Спасибо.,1
В присланном списке str.mos.ru на работников отдела №11 нет Гулько А.Д.,3
отдел №6,2
Списки. В присланном списке str.mos.ru на работников отдела №11 нет Гулько А.Д.,3
Проблема с автокад,2
"настройка АРМ. Прошу выполнить необходимые настройки на рабочем месте работка ОКР Самсова А.Е., связанные с тестированием нового релиза РеИнформ",3
"В бухгалтерии нет работников, не имеющих почтовых ящиков в домене mggt.ru. , поэтому  Ответственный за получение паролей для работников, не имеющих почтовых ящиков в домене mggt.ru. не назначается Ответственный от бухгалтерии за предоставление списка активных учетных записей единая почтовая система . – Базыкина Я.А.",1
"На служебную записку В - АУП - 11225/22 от 29.08.2022   Ответственный от бухгалтерии за предоставление списка активных учетных записей единая почтовая система . – Базыкина Я.А.. В бухгалтерии нет работников, не имеющих почтовых ящиков в домене mggt.ru. , поэтому  Ответственный за получение паролей для работников, не имеющих почтовых ящиков в домене mggt.ru. не назначается Ответственный от бухгалтерии за предоставление списка активных учетных записей единая почтовая система . – Базыкина Я.А.",1
Доброе утро!   h2.  Список ответственных за получение паролей для работников ОВБ. h2.   h2.   h2.,1
RE: #600-267647: Программное обеспечение PrinCe (програмное обеспечение CHC CGO 2.0 RTK),3
Прошу восстановить допуск к почтовому ящику GoncharovaNY2@str.mos.ru. Прошу восстановить допуск к почтовому ящику  GoncharovaNY2@str.mos.ru,4
Список активных учетных записей ЕПС. Добрый день.  В соответствии со служебной запиской В - АУП - 11225/22 от 29.08.2022 Первый отдел направляет списки активных учетных записей ЕПС:,3
не могу подключиться через рдп. Не могу подключиться черtз рдп к удаленному компьютеру Dst00155.,0
"В бухгалтерии нет работников, не имеющих почтовых ящиков в домене mggt.ru. , поэтому  Ответственный за получение паролей для работников, не имеющих почтовых ящиков в домене mggt.ru. не назначается Ответственный от бухгалтерии за предоставление списка активных учетных записей ЕПС . – Базыкина Я.А.",1
Сотрудники,3
Список активных учетных записей единая почтовая система. Добрый день.  В соответствии со служебной запиской В - АУП - 11225/22 от 29.08.2022 Первый отдел направляет списки активных учетных записей единая почтовая система:,0
Добрый день.  В соответствии со служебной запиской В - АУП - 11225/22 от 29.08.2022 Первый отдел направляет списки активных учетных записей единая почтовая система:,3
"Внешняя почта. День добрый. Прошу сбросить пароль к почте UlinPA@str.mos.ru   _ _С уважением,__    _______________________________________________",3
Доброе утро Помогите пожалуйста решить проблему. При запуске программы выдает ошибку и закрывает файл,2
пароль для входа в база данных,1
"Пользователь Микутра Яна Васильевна хотел бы отозвать сообщение, ""Список активных учетных записей ЕПС"".",2
"* *С уважением,**  * ***  * *Хасанова Гузель Данисовна**  * *Инженер 1 категории**  * *отдела инженерно-конструкторских исследований**  * *ГБУ «Московский городской трест**  * *геолого-геодезических и картографических работ»**  * ***  * *тел*** *: +7 (937)3455590**  * *e-mail:**   +[ +gkhasanova@mggt.ru+|mailto:gkhasanova@mggt.ru] +  * **** ***  _____________________________________________",2
"Добрый день! Прошу настроить почту, которая  str.mos",4
"Обновили на новую подпись Назаркин, в АС выдает ошибку",0
"Информационная рассылка: СДО МГГТ, обновление системы",0
доступ к почте @str.mos.ru,3
Ответственный отд.№11,0
"Учетные данные единая почтовая система для первоначального входа. Прошу выдать учетную запись в Единой почтовой системе (единая почтовая система, почта @str.mos.ru) следующим работникам:  | п/п | ФИО | Табельный номер | | 1 | Кравцов Дмитрий Александрович  | 2025 | | 2 | Плетнев Александр Васильевич  | 165  | | 3 | Плетнев Василий Алексеевич  | 361  | | 4 | Ицков Артем Анатольевич  | 182  | | 5 | Русаков Николай Павлович  | 2641  | | 6 | Кузнецов Александр Иванович  | 1202  |",1
"FW: Получение паролей единая почтовая система. Добрый день! Прошу прислать логин и пароль для единая почтовая система еще для одного сотрудника, который не помнит пароля: Савватевв Ярослав Викторович     *From:* Обухов Владимир Владимирович   *Sent:* Monday, August 29, 2022 2:48 PM  *To:* 'HelpDesk@mggt.ru'  *Subject:* Получение паролей единая почтовая система    Добрый день! Ответственный за получение паролей: Обухов Владимир Владимирович  Список сотрудников не имеющих почтовый ящик в домене  mggt.ru:  *1.*  *Воскресенский Алексей Иванович* 2.  *Рудаков Дмитрий Вадимович* – у него почтовый ящик есть, но он не помнит свой пароль и логин, так как работает в основном в поле. И не может посмотреть письмо с паролем и логином для единая почтовая система.    *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *_С уважением,_*_*  *_ *_*_*  *_ *_Начальник группы инженерно-геофизических исследований_*_*  *_ *_Отдел №2_*_*  *_ **_*  *_ *_Тел: *_*",3
восстановление почтового ящика,3
Почта,1
заявка не снимается. Добрый день. Не получается снять заявку.,1
уствновка 1c. у Новожиловой был заменен комп. на новом компе нет 1с. имя нового компа DST00872,1
"Информационная рассылка: СДО МГГТ, обновление системы. Уважаемые пользователи! Сегодня 29.08.2022г. в период с 18-00 до 19-00 в СДО МГГТ планируются работы по обновлению. Система может работать нестабильно.",0
проблемы с почтой . при отправке возникают разного рода ошибки ...2. пыталась направить по внутренней почте,2
Восстановить почту  str.mos.ru ,4
Пароль на str.mos.ru,1
STR,1
"Добрый день! Прошу прислать логин и пароль для ЕПС еще для одного сотрудника, который не помнит пароля: Савватевв Ярослав Викторович     *From:* Обухов Владимир Владимирович   *Sent:* Monday, August 29, 2022 2:48 PM  *To:* 'HelpDesk@mggt.ru'  *Subject:* Получение паролей ЕПС    Добрый день! Ответственный за получение паролей: Обухов Владимир Владимирович  Список сотрудников не имеющих почтовый ящик в домене  mggt.ru:  *1.*  *Воскресенский Алексей Иванович* 2.  *Рудаков Дмитрий Вадимович* – у него почтовый ящик есть, но он не помнит свой пароль и логин, так как работает в основном в поле. И не может посмотреть письмо с паролем и логином для ЕПС.    *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *_С уважением,_*_*  *_ *_*_*  *_ *_Начальник группы инженерно-геофизических исследований_*_*  *_ *_Отдел №2_*_*  *_ **_*  *_ *_Тел: *_*",3
"Учетные данные ЕПС для первоначального входа. Прошу выдать учетную запись в Единой почтовой системе (ЕПС, почта @str.mos.ru) Щербаковой Л.А.(таб.)",0
"Учетные данные единая почтовая система для первоначального входа. Прошу выдать учетную запись в Единой почтовой системе (единая почтовая система, почта @str.mos.ru) Щербаковой Л.А.(таб.)",0
"Информационная рассылка: система документооборота МГГТ, обновление системы",0
Добрый день.  В соответствии со служебной запиской В - АУП - 11225/22 от 29.08.2022 Первый отдел направляет списки активных учетных записей единая почтовая система:,0
"День добрый. Прошу сбросить пароль к почте UlinPA@str.mos.ru   _ _С уважением,__    _______________________________________________",3
Прошу восстановить допуск к почтовому ящику GoncharovaNY2@str.mos.ru,4
"почта в mggt.ru.. Добрый день!  Прошу выдать пароль для почтового ящика в домене mggt.ru.   Кузнецову Александру Ивановичу (таб.№ 1202)    *_ *_С уважением,_*_*  _____________________________________________",2
Проблема с AutoCAD,2
Сотрудники. Добрый день! По регистрации в str.mos.ru работников отдела №11 в списках так же отсутствуют: Кадыков А.С.; Козлов П.И.; Дюканов А.И.,3
Обновить пароль,0
прислать учётные данные ЕПС,2
Прошу восстановить допуск к почтовому ящику  GoncharovaNY2@str.mos.ru,4
Проблема с автокад. Доброе утро Помогите пожалуйста решить проблему. При запуске программы выдает ошибку и закрывает файл,2
"Отзыв: Список активных учетных записей ЕПС. Пользователь Микутра Яна Васильевна хотел бы отозвать сообщение, ""Список активных учетных записей ЕПС"".",2
Прошу восстановить пароль @str.mos.ru (утрачен в 2021 г.) для входа в единая почтовая система,2
"Добрый день! Прошу вас решить проблему в работе  PlanTracer, проблемы с отображением лестницы. Направляющая вылетает за пределы, и выглядит следующим образом:   Должна выглядеть так:   Название устройства: LEN-VDI-417",2
Список активных учетных записей ЕПС,3
"Доброе утро! Прошу восстановить почту str.mos.ru Телефон для контакта +7С уважением, Инженер 1-ой категории отдела №9 (ОПС)",4
Прошу восстановить пароль @str.mos.ru (утрачен в 2021 г.) для входа в ЕПС,2
восстановление почты,1
восстановление почты. Доброе утро! Прошу восстановить ранее установленную почту  [KorchinovaLA@str.mos.ru|mailto:KorchinovaLA@str.mos.ru] Спасибо.,1
"В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22, и в соответствии с приложенной служебной запиской, необходимо создать учетную запись на портале в единая почтовая система, почта @str.mos.ru., начальнику группы по делам ГО и ЧС Дюкову А.В., в связи с тем, что при создании предыдущей учетной записи на @str.mos.ru. пароль для входа в почту выдан не был.  С уважением, А.В. Волонтырь,",1
почта в mggt.ru.,2
"ЕПС. Восстановить пароль ЕПС Фролов П,А.",3
единая почтовая система,3
"Доброе утро! Просьба заменить сборник отходов аппарат  Xerox AltaLik C8035. Спасибо!   _ ___  _ _С уважением,__",4
FW: отгулы ,2
Список активных учетных записей ЕПС. Добрый день.  В соответствии со служебной запиской В - АУП - 11225/22 от 29.08.2022 Первый отдел направляет списки активных учетных записей ЕПС:,0
Не могу подключиться черtз рдп к удаленному компьютеру Dst00155.,0
"Расходники 2й отдел. Добрый день, отправьте во второй отдел 2 розово/синих головы, и 1 черную для HP T7100, спасибо.",0
На служебную записку В - АУП - 11225/22 от 29.08.2022   Ответственный от бухгалтерии за предоставление списка активных учетных записей единая почтовая система . – Базыкина Я.А.,1
Список активных учетных записей ЕПС,0
"Прошу выдать учетную запись в Единой почтовой системе (единая почтовая система, почта @str.mos.ru) Щербаковой Л.А.(таб.)",0
Список активных учетных записей единая почтовая система. Добрый день.  В соответствии со служебной запиской В - АУП - 11225/22 от 29.08.2022 Первый отдел направляет списки активных учетных записей единая почтовая система:,3
"Добрый день! Прошу прислать логин и пароль для единая почтовая система еще для одного сотрудника, который не помнит пароля: Савватевв Ярослав Викторович     *From:* Обухов Владимир Владимирович   *Sent:* Monday, August 29, 2022 2:48 PM  *To:* 'HelpDesk@mggt.ru'  *Subject:* Получение паролей единая почтовая система    Добрый день! Ответственный за получение паролей: Обухов Владимир Владимирович  Список сотрудников не имеющих почтовый ящик в домене  mggt.ru:  *1.*  *Воскресенский Алексей Иванович* 2.  *Рудаков Дмитрий Вадимович* – у него почтовый ящик есть, но он не помнит свой пароль и логин, так как работает в основном в поле. И не может посмотреть письмо с паролем и логином для единая почтовая система.    *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *__*_*  *_ *_С уважением,_*_*  *_ *_*_*  *_ *_Начальник группы инженерно-геофизических исследований_*_*  *_ *_Отдел №2_*_*  *_ **_*  *_ *_Тел: *_*",3
заявка не снимается,1
"единая почтовая система. Восстановить пароль единая почтовая система Фролов П,А.",3
